"","V1","V2","V3","cluster"
"563",39,35,26,"3"
"564",39,36,25,"3"
"565",40,20,40,"1"
"566",40,21,39,"2"
"567",40,22,38,"2"
"568",40,23,37,"2"
"569",40,24,36,"2"
"570",40,25,35,"2"
"571",40,26,34,"2"
"572",40,27,33,"2"
"573",40,28,32,"2"
"574",40,29,31,"2"
"575",40,30,30,"3"
"576",40,31,29,"3"
"577",40,32,28,"3"
"578",40,33,27,"3"
"579",40,34,26,"3"
"580",40,35,25,"3"
"581",41,20,39,"2"
"582",41,21,38,"2"
"583",41,22,37,"2"
"584",41,23,36,"2"
"585",41,24,35,"2"
"586",41,25,34,"2"
"587",41,26,33,"2"
"588",41,27,32,"2"
"589",41,28,31,"2"
"590",41,29,30,"2"
"591",41,30,29,"2"
"592",41,31,28,"3"
"593",41,32,27,"3"
"594",41,33,26,"3"
"595",41,34,25,"3"
"596",42,20,38,"2"
"597",42,21,37,"2"
"598",42,22,36,"2"
"599",42,23,35,"2"
"600",42,24,34,"2"
"601",42,25,33,"2"
"602",42,26,32,"2"
"603",42,27,31,"2"
"604",42,28,30,"2"
"605",42,29,29,"2"
"606",42,30,28,"2"
"607",42,31,27,"2"
"608",42,32,26,"3"
"609",42,33,25,"3"
"610",43,20,37,"2"
"611",43,21,36,"2"
"612",43,22,35,"2"
"613",43,23,34,"2"
"614",43,24,33,"2"
"615",43,25,32,"2"
"616",43,26,31,"2"
"617",43,27,30,"2"
"618",43,28,29,"2"
"619",43,29,28,"2"
"620",43,30,27,"2"
"621",43,31,26,"2"
"622",43,32,25,"2"
"623",44,20,36,"2"
"624",44,21,35,"2"
"625",44,22,34,"2"
"626",44,23,33,"2"
"627",44,24,32,"2"
"628",44,25,31,"2"
"629",44,26,30,"2"
"630",44,27,29,"2"
"631",44,28,28,"2"
"632",44,29,27,"2"
"633",44,30,26,"2"
"634",44,31,25,"2"
"635",45,20,35,"2"
"636",45,21,34,"2"
"637",45,22,33,"2"
"638",45,23,32,"2"
"639",45,24,31,"2"
"640",45,25,30,"2"
"641",45,26,29,"2"
"642",45,27,28,"2"
"643",45,28,27,"2"
"644",45,29,26,"2"
"645",45,30,25,"2"
"646",46,20,34,"2"
"647",46,21,33,"2"
"648",46,22,32,"2"
"649",46,23,31,"2"
"650",46,24,30,"2"
"651",46,25,29,"2"
"652",46,26,28,"2"
"653",46,27,27,"2"
"654",46,28,26,"2"
"655",46,29,25,"2"
"656",47,20,33,"2"
"657",47,21,32,"2"
"658",47,22,31,"2"
"659",47,23,30,"2"
"660",47,24,29,"2"
"661",47,25,28,"2"
"662",47,26,27,"2"
"663",47,27,26,"2"
"664",47,28,25,"2"
"665",48,20,32,"2"
"666",48,21,31,"2"
"667",48,22,30,"2"
"668",48,23,29,"2"
"669",48,24,28,"2"
"670",48,25,27,"2"
"671",48,26,26,"2"
"672",48,27,25,"2"
"673",49,20,31,"2"
"674",49,21,30,"2"
"675",49,22,29,"2"
"676",49,23,28,"2"
"677",49,24,27,"2"
"678",49,25,26,"2"
"679",49,26,25,"2"
"680",50,20,30,"2"
"681",50,21,29,"2"
"682",50,22,28,"2"
"683",50,23,27,"2"
"684",50,24,26,"2"
"685",50,25,25,"2"
"686",51,20,29,"2"
"687",51,21,28,"2"
"688",51,22,27,"2"
"689",51,23,26,"2"
"690",51,24,25,"2"
"691",52,20,28,"2"
"692",52,21,27,"2"
"693",52,22,26,"2"
"694",52,23,25,"2"
"695",53,20,27,"2"
"696",53,21,26,"2"
"697",53,22,25,"2"
"698",54,20,26,"2"
"699",54,21,25,"2"
"700",55,20,25,"2"
"701",55,20,25,"2"
"702",54,21,25,"2"
"703",53,22,25,"2"
"704",52,23,25,"2"
"705",51,24,25,"2"
"706",50,25,25,"2"
"707",49,26,25,"2"
"708",48,27,25,"2"
"709",47,28,25,"2"
"710",46,29,25,"2"
"711",45,30,25,"2"
"712",44,31,25,"2"
"713",43,32,25,"2"
"714",42,33,25,"3"
"715",41,34,25,"3"
"716",40,35,25,"3"
"717",39,36,25,"3"
"718",38,37,25,"3"
"719",37,38,25,"3"
"720",36,39,25,"3"
"721",35,40,25,"3"
"722",34,41,25,"3"
"723",33,42,25,"3"
"724",32,43,25,"3"
"725",31,44,25,"3"
